log_ts,departure_time,route_id,trip_id,vehicle_id,vehicle_timestamp,brigade,type,vehicle_trip_id,vehicle_trip_headsign,departure_time_live,stopSequence_live,stop_live,delay,positionData
2022-11-30 14:37:00,53880,517,RA221129/517/TP-CEN/DP/14.19__,3/5249,1669818986000.0,9.0,3.0,RA221129/517/TP-URN/DP/15.14__,Ursus - Niedźwiadek,53880.0,5.0,Hala Kopińska 02,9.433333333333334,"{'time': 55620, 'stopID': '411602', 'stopName': 'Hala Kopińska 02', 'stopIdx': 5, 'searchedStopIdx': -1, 'type': 'actualStop', 'delay': 566}"
2022-11-30 14:37:00,54120,504,RA221129/504/TP-DWC/DP/14.21__,3/8316,1669818975000.0,6.0,3.0,RA221129/504/TP-MKA/DP/15.21__,Os. Kabaty,54120.0,1.0,Dw. Centralny 02,13.983333333333333,"{'time': 55336.62256521903, 'stopID': '700202', 'stopName': 'Dw. Centralny 02', 'type': 'nextStop', 'stopIdx': 1, 'searchedStopIdx': -1, 'normalizedPercentBetweenStops': 0.425680917883537, 'delay': 839}"
2022-11-30 14:37:00,53940,158,RA221129/158/TX-OST/DP/14.45__,3/5900,1669818986000.0,6.0,3.0,RA221129/158/TX-OST/DP/14.45__,Witolin,54245.0,26.0,Tarnowiecka 02,5.083333333333333,"{'time': 55881.52683507327, 'stopID': '210602', 'stopName': 'Tarnowiecka 02', 'type': 'nextStop', 'stopIdx': 26, 'searchedStopIdx': 8, 'normalizedPercentBetweenStops': 0.358780584554576, 'delay': 305}"
2022-11-30 14:37:00,54660,157,RA221129/157/TP-GWI/DP/14.57__,3/9447,1669818983000.0,2.0,3.0,RA221129/157/TP-GWI/DP/14.57__,Gwiaździsta,54863.0,22.0,Gen. Zajączka 02,3.3833333333333333,"{'time': 55980.13187025237, 'stopID': '600102', 'stopName': 'Gen. Zajączka 02', 'type': 'nextStop', 'stopIdx': 22, 'searchedStopIdx': 7, 'normalizedPercentBetweenStops': 0.501098918769733, 'delay': 203}"
2022-11-30 14:37:00,54420,127,RA221129/127/TP-BRO/DP/14.41__,3/5964,1669818982000.0,7.0,3.0,RA221129/127/TP-BRO/DP/14.41__,Browarna,54922.0,28.0,Metro Centrum Nauki Kopernik 04,8.366666666666667,"{'time': 55680, 'stopID': '707904', 'stopName': 'Metro Centrum Nauki Kopernik 04', 'stopIdx': 28, 'searchedStopIdx': 17, 'type': 'actualStop', 'delay': 502}"
2022-11-30 14:37:00,54960,521,RA221129/521/TP-FAL-S/DP/15.01,3/9853,1669818984000.0,6.0,3.0,RA221129/521/TP-FAL-S/DP/15.01,Falenica,55389.0,10.0,Rondo Waszyngtona 02,7.15,"{'time': 55755.43312698115, 'stopID': '213102', 'stopName': 'Rondo Waszyngtona 02', 'type': 'nextStop', 'stopIdx': 10, 'searchedStopIdx': 6, 'normalizedPercentBetweenStops': 0.814304695754793, 'delay': 429}"
2022-11-30 14:38:00,53880,517,RA221129/517/TP-CEN/DP/14.19__,3/5249,1669819046000.0,9.0,3.0,RA221129/517/TP-URN/DP/15.14__,Ursus - Niedźwiadek,53880.0,6.0,Dw. Zachodni 02,9.55,"{'time': 55673.222727772605, 'stopID': '404402', 'stopName': 'Dw. Zachodni 02', 'type': 'nextStop', 'stopIdx': 6, 'searchedStopIdx': -1, 'normalizedPercentBetweenStops': 0.44352273143838306, 'delay': 573}"
2022-11-30 14:38:00,54120,504,RA221129/504/TP-DWC/DP/14.21__,3/8316,1669819053000.0,6.0,3.0,RA221129/504/TP-MKA/DP/15.21__,Os. Kabaty,54120.0,1.0,Dw. Centralny 02,13.55,"{'time': 55440, 'stopID': '700202', 'stopName': 'Dw. Centralny 02', 'stopIdx': 1, 'searchedStopIdx': -1, 'type': 'actualStop', 'delay': 813}"
2022-11-30 14:38:00,53940,158,RA221129/158/TX-OST/DP/14.45__,3/5900,1669819053000.0,6.0,3.0,RA221129/158/TX-OST/DP/14.45__,Witolin,54256.0,27.0,Witolin 03,5.266666666666667,"{'time': 55937.19693405192, 'stopID': '210503', 'stopName': 'Witolin 03', 'type': 'nextStopLastStop', 'stopIdx': 27, 'searchedStopIdx': 8, 'normalizedPercentBetweenStops': 0.286615567532061, 'delay': 316}"
2022-11-30 14:38:00,54660,157,RA221129/157/TP-GWI/DP/14.57__,3/9447,1669819054000.0,2.0,3.0,RA221129/157/TP-GWI/DP/14.57__,Gwiaździsta,54908.0,22.0,Gen. Zajączka 02,4.133333333333334,"{'time': 56006.10080920114, 'stopID': '600102', 'stopName': 'Gen. Zajączka 02', 'type': 'nextStop', 'stopIdx': 22, 'searchedStopIdx': 7, 'normalizedPercentBetweenStops': 0.717506743342818, 'delay': 248}"
