Miasto,Dzielnica,Powierzchnia,Pokoje,Cena,Cena_m2
Kraków,Salwator,65.0,2.0,2250.0,34.62
Kraków,Grzegórzki,55.0,3.0,2400.0,43.64
Kraków,Stare Miasto,80.0,3.0,6000.0,75.0
Kraków,Borek Fałęcki,75.84,3.0,2300.0,30.33
Kraków,Prądnik Biały,56.0,2.0,1900.0,33.93
małopolskie,Kraków,35.0,1.0,2200.0,62.86
małopolskie,Kraków,50.0,2.0,2500.0,50.0
Wrocław,Nowy Dwór,67.0,3.0,1950.0,29.1
Gdańsk,Śródmieście,32.0,2.0,2200.0,68.75
Wrocław,Plac Grunwaldzki,61.0,2.0,2400.0,39.34
małopolskie,Kraków,35.0,2.0,1800.0,51.43
Kraków,Stare Miasto,23.0,1.0,1050.0,45.65
Warszawa,Śródmieście,59.0,3.0,5300.0,89.83
Warszawa,Mokotów,46.0,2.0,3700.0,80.43
Kraków,Krowodrza,80.0,3.0,2200.0,27.5
Warszawa,Powiśle,34.0,1.0,2500.0,73.53
Kraków,Krowodrza,25.0,1.0,1500.0,60.0
Warszawa,Wilanów,115.0,3.0,5000.0,43.48
Wrocław,Krzyki,28.0,1.0,2000.0,71.43
Gdańsk,Wrzeszcz,62.8,3.0,3500.0,55.73
Warszawa,Mokotów,38.0,1.0,2200.0,57.89
Warszawa,Bemowo,36.0,2.0,1850.0,51.39
Kraków,Prądnik Biały,53.0,3.0,2300.0,43.4
Kraków,Stare Miasto,180.0,4.0,5500.0,30.56
Warszawa,Śródmieście,28.0,2.0,1750.0,62.5
Szczecin,Pogodno,63.1,3.0,4200.0,66.56
Kraków,Bieżanów-Prokocim,33.0,2.0,1900.0,57.58
Warszawa,Saska Kępa,49.0,2.0,1900.0,38.78
Warszawa,Anin,56.0,2.0,2600.0,46.43
Kraków,Grzegórzki,120.0,4.0,7500.0,62.5
Warszawa,Wilanów,108.3,3.0,7000.0,64.64
Kraków,Dębniki,37.0,2.0,1600.0,43.24
pod budynkiem,,35.0,2.0,2400.0,68.57
Warszawa,Praga-Północ,115.0,4.0,6000.0,52.17
Kraków,Podgórze,19.0,1.0,1400.0,73.68
Kraków,Os. Ruczaj,45.0,2.0,2000.0,44.44
Warszawa,Chrzanów,46.0,2.0,2500.0,54.35
Kraków,Stare Miasto,35.0,1.0,1700.0,48.57
Kraków,Podgórze,50.0,2.0,2500.0,50.0
Kraków,Podgórze,52.0,2.0,2650.0,50.96
Warszawa,Wilanów,47.5,2.0,3200.0,67.37
pomorskie,Gdańsk,68.5,3.0,2200.0,32.12
Gdańsk,Piecki-Migowo,52.0,3.0,2300.0,44.23
Warszawa,Mokotów,93.0,4.0,5900.0,63.44
Warszawa,Ursus,60.0,3.0,2800.0,46.67
Warszawa,Śródmieście,100.0,4.0,7500.0,75.0
Warszawa,Mokotów,57.0,3.0,2700.0,47.37
Kraków,Stare Miasto,18.0,1.0,1200.0,66.67
Warszawa,Powiśle,29.0,1.0,1800.0,62.07
Kraków,Grzegórzki,42.0,1.0,2200.0,52.38
małopolskie,Kraków,40.0,2.0,1700.0,42.5
Kraków,Łobzów,80.0,3.0,2000.0,25.0
Kraków,Grzegórzki,73.0,2.0,2500.0,34.25
małopolskie,Kraków,20.0,1.0,1400.0,70.0
Warszawa,Powiśle,118.7,3.0,6000.0,50.55
małopolskie,Kraków,45.0,2.0,2500.0,55.56
Warszawa,Praga-Północ,52.0,2.0,3500.0,67.31
Warszawa,Bródno,54.5,4.0,2400.0,44.04
Wrocław,Stare Miasto,52.0,2.0,2100.0,40.38
Warszawa,Mokotów,103.0,3.0,4500.0,43.69
Warszawa,Ursus,38.0,2.0,2100.0,55.26
Warszawa,Śródmieście,87.5,3.0,6000.0,68.57
małopolskie,Kraków,44.0,2.0,1299.0,29.52
Łódź,Śródmieście,37.0,2.0,1500.0,40.54
Warszawa,Mokotów,50.0,2.0,2550.0,51.0
Warszawa,Żoliborz,20.0,1.0,1500.0,75.0
Warszawa,Szczęśliwice,45.0,2.0,2890.0,64.22
Warszawa,Mokotów,64.0,2.0,3200.0,50.0
Warszawa,Śródmieście,75.0,4.0,3950.0,52.67
Kraków,Krowodrza,39.0,1.0,1500.0,38.46
Warszawa,Bielany,30.0,1.0,2100.0,70.0
Łódź,Widzew,59.43,3.0,2000.0,33.65
Kraków,Grzegórzki,70.0,3.0,4200.0,60.0
Warszawa,Żoliborz,70.0,3.0,3800.0,54.29
Warszawa,Praga-Północ,39.0,2.0,3000.0,76.92
Warszawa,Młociny,170.0,5.0,6250.0,36.76
Poznań,Winogrady,50.0,2.0,1500.0,30.0
Warszawa,Śródmieście,106.0,3.0,5600.0,52.83
Warszawa,Wilanów,76.0,3.0,5900.0,77.63
Warszawa,Targówek,46.46,2.0,2500.0,53.81
Kraków,Olsza,65.0,3.0,2400.0,36.92
Warszawa,Praga-Południe,84.0,3.0,4400.0,52.38
zachodniopomorskie,Szczecin,70.0,2.0,3000.0,42.86
Kraków,Płaszów,25.0,1.0,800.0,32.0
Warszawa,Saska Kępa,140.0,6.0,6900.0,49.29
