rooms,price,area,price_m2,city,district
2,229800,46.09,4986.0,GLIWICE,POLITECHNIKA
3,449000,70.04,6411.0,RZESZÓW,ŚRÓDMIEŚCIE
4,366900,74.8,4905.0,WROCŁAW,MAŚLICE
2,299000,37.0,8081.0,KRAKÓW,NOWA HUTA
2,465000,47.0,9894.0,WARSZAWA,BEMOWO
2,322080,36.6,8800.0,WARSZAWA,
2,355000,37.03,9587.0,KRAKÓW,GRZEGÓRZKI
3,800000,55.0,14545.0,WARSZAWA,WOLA
2,520000,52.0,10000.0,KOŁOBRZEG,
3,481998,57.31,8410.0,POZNAŃ,JEŻYCE
4,803920,100.49,8000.0,WARSZAWA,URSUS
3,448000,74.8,5989.0,TORUŃ,KONIUCHY
2,245046,38.59,6350.0,GLIWICE,
3,695193,58.73,11837.0,WARSZAWA,MOKOTÓW
3,360000,61.0,5902.0,TORUŃ,
3,260000,51.2,5078.0,BYDGOSZCZ,
2,347550,46.34,7500.0,SZCZECIN,NOWE MIASTO
3,800000,85.0,9412.0,WARSZAWA,PRAGA-POŁUDNIE
3,408870,58.41,7000.0,SZCZECIN,NOWE MIASTO
2,340000,37.51,9064.0,PIASECZNO,
2,549131,47.29,11612.0,WARSZAWA,WOLA
4,1190000,146.0,8151.0,WARSZAWA,
2,699000,38.5,18156.0,SOPOT,DOLNY
4,700000,120.0,5833.0,BYDGOSZCZ,
5,980000,123.7,7922.0,POZNAŃ,WILDA
2,245000,44.79,5470.0,ŁÓDŹ,
3,635000,66.0,9621.0,WARSZAWA,PRAGA-PÓŁNOC
2,899000,68.0,13221.0,WARSZAWA,MOKOTÓW
2,480000,46.1,10412.0,WARSZAWA,PRAGA-POŁUDNIE
