id,Cena,Powierzchnia,Liczba pokoi,Rynek,Piętro,Rok budowy,Rodzaj zabudowy,Liczba pięter,Materiał budynku,Ogrzewanie,Stan wykończenia,Forma własności,Okna,Czynsz
ID4dbHF,285000.0,31.0,1.0,wtórny,,,blok,,,,,pełna własność,,
ID4bO4m,930000.0,71.0,2.0,wtórny,6,2001.0,apartamentowiec,11.0,,miejskie,do zamieszkania,pełna własność,plastikowe,
ID4bn2q,1699000.0,102.0,4.0,wtórny,3,2012.0,apartamentowiec,6.0,cegła,miejskie,do zamieszkania,pełna własność,,
ID4cYc4,1479000.0,92.57,4.0,pierwotny,2,2021.0,apartamentowiec,8.0,beton,miejskie,,pełna własność,drewniane,958 zł
ID4aliB,1060000.0,84.0,4.0,wtórny,1,1934.0,kamienica,3.0,cegła,,do remontu,,,
ID4djNy,1845000.0,91.83,4.0,wtórny,5,2008.0,apartamentowiec,5.0,,miejskie,do zamieszkania,,,1 000 zł
ID4dlDd,705000.0,53.0,3.0,wtórny,8,1980.0,blok,10.0,wielka płyta,miejskie,do zamieszkania,pełna własność,plastikowe,650 zł
ID4cgEQ,1610000.0,90.0,4.0,pierwotny,2,2021.0,apartamentowiec,2.0,,,,pełna własność,plastikowe,
ID4cvuo,600000.0,44.0,2.0,wtórny,4,1961.0,blok,4.0,,miejskie,do zamieszkania,,,500 zł
ID471bf,2030870.0,140.06,5.0,pierwotny,2,2021.0,,3.0,,,do wykończenia,pełna własność,,
ID49Ztv,689000.0,48.03,2.0,wtórny,1,2016.0,blok,10.0,cegła,miejskie,do zamieszkania,pełna własność,plastikowe,530 zł
ID4d75q,2575000.0,152.24,5.0,wtórny,2,,apartamentowiec,,,miejskie,do zamieszkania,pełna własność,,
ID4aVf1,662000.0,42.46,2.0,wtórny,6,2019.0,apartamentowiec,7.0,,miejskie,do zamieszkania,pełna własność,plastikowe,550 zł
ID4c21W,529000.0,35.4,2.0,wtórny,2,1956.0,kamienica,4.0,cegła,,do zamieszkania,pełna własność,,500 zł
ID4cytY,388000.0,23.0,1.0,wtórny,parter,,blok,4.0,,,,,,310 zł
ID4dk3d,529000.0,46.0,2.0,wtórny,1,,blok,10.0,wielka płyta,miejskie,do zamieszkania,spółdzielcze własnościowe,plastikowe,600 zł
ID46RQj,924700.0,66.0,3.0,pierwotny,6,2022.0,apartamentowiec,11.0,cegła,miejskie,do wykończenia,pełna własność,drewniane,
ID4dfJx,856940.0,71.21,3.0,pierwotny,1,2022.0,apartamentowiec,3.0,,miejskie,do wykończenia,pełna własność,plastikowe,
ID4cMIT,449990.0,37.5,2.0,wtórny,3,1970.0,blok,4.0,,miejskie,do zamieszkania,,,
ID4cLMq,485000.0,42.5,2.0,wtórny,parter,1973.0,blok,3.0,wielka płyta,miejskie,do zamieszkania,spółdzielcze wł. z KW,,593 zł
ID4d6M0,689000.0,53.0,4.0,wtórny,parter,,blok,10.0,wielka płyta,miejskie,do zamieszkania,spółdzielcze wł. z KW,plastikowe,500 zł
ID4bCnJ,2309580.0,128.31,3.0,wtórny,8,2008.0,,8.0,cegła,,do wykończenia,pełna własność,drewniane,
ID4c3W1,2600000.0,136.82,4.0,wtórny,3,2009.0,apartamentowiec,3.0,cegła,miejskie,do zamieszkania,pełna własność,aluminiowe,1 500 zł
ID4clpI,1099777.0,120.0,3.0,wtórny,1,2001.0,blok,8.0,inne,miejskie,do zamieszkania,,plastikowe,1 137 zł
ID4d1wZ,1999000.0,120.0,4.0,wtórny,3,2021.0,,6.0,,,do wykończenia,,plastikowe,
ID4cErS,620000.0,44.0,3.0,wtórny,4,1957.0,blok,5.0,cegła,,do remontu,spółdzielcze wł. z KW,,
ID4d6Lm,1594580.0,122.66,4.0,pierwotny,1,,apartamentowiec,2.0,,miejskie,,,,
ID45JMG,555000.0,44.53,2.0,wtórny,4,1950.0,kamienica,4.0,cegła,miejskie,do zamieszkania,pełna własność,plastikowe,300 zł
ID4cZuO,580000.0,42.0,2.0,wtórny,1,1970.0,,10.0,,,,pełna własność,,500 zł
ID4d9qE,730000.0,51.0,3.0,wtórny,3,1950.0,kamienica,4.0,cegła,miejskie,do zamieszkania,pełna własność,,
ID4ccox,1920000.0,64.0,2.0,wtórny,parter,2018.0,apartamentowiec,2.0,,,do zamieszkania,,aluminiowe,
ID4a5V6,670000.0,53.17,2.0,wtórny,2,2006.0,blok,10.0,,,do zamieszkania,pełna własność,,800 zł
ID4bHKz,530000.0,39.5,2.0,wtórny,parter,1956.0,,4.0,,,,pełna własność,plastikowe,420 zł
ID4dkRc,564000.0,36.79,2.0,wtórny,10,2020.0,apartamentowiec,10.0,,,,,,
ID4bBiP,1220000.0,76.5,3.0,wtórny,1,1958.0,kamienica,3.0,cegła,,,,,
ID4bfLp,10800000.0,274.0,5.0,wtórny,1,2016.0,apartamentowiec,7.0,,,do zamieszkania,,aluminiowe,
ID49985,2932800.0,112.8,3.0,wtórny,1,2001.0,apartamentowiec,4.0,,,,,,2 900 zł
ID4bOP6,499000.0,39.0,2.0,wtórny,1,1956.0,blok,4.0,,,,pełna własność,,430 zł
ID4d2i6,920000.0,58.88,3.0,wtórny,4,2015.0,blok,7.0,inne,miejskie,do zamieszkania,pełna własność,aluminiowe,680 zł
ID4cgZP,735000.0,59.4,2.0,wtórny,9,1998.0,apartamentowiec,11.0,cegła,miejskie,do zamieszkania,pełna własność,drewniane,380 zł
ID4clnN,1771000.0,88.55,3.0,wtórny,1,2016.0,,2.0,,,do zamieszkania,pełna własność,drewniane,863 zł
ID4bYRU,990000.0,60.4,3.0,wtórny,4,2020.0,blok,7.0,żelbet,miejskie,do zamieszkania,pełna własność,plastikowe,600 zł
ID4dmHV,630000.0,45.0,2.0,wtórny,1,2014.0,,3.0,,,,,,
ID4a1Fb,1190000.0,92.0,5.0,wtórny,4,1974.0,blok,10.0,wielka płyta,miejskie,do zamieszkania,,,
ID4d0zN,470000.0,49.0,2.0,wtórny,5,,,7.0,,,,,,490 zł
ID4dgVB,1399000.0,75.27,3.0,wtórny,8,2009.0,blok,10.0,,miejskie,do zamieszkania,pełna własność,,780 zł
ID4cTgJ,429000.0,32.0,2.0,wtórny,parter,1990.0,blok,4.0,,miejskie,do zamieszkania,,,
ID4da9Y,365000.0,30.0,2.0,wtórny,4,,,4.0,,miejskie,,spółdzielcze własnościowe,plastikowe,300 zł
ID4dhkJ,853000.0,56.87,3.0,wtórny,4,2020.0,blok,7.0,beton komórkowy,miejskie,do zamieszkania,pełna własność,plastikowe,450 zł
ID4axgx,1220000.0,76.45,3.0,wtórny,1,,kamienica,4.0,cegła,miejskie,do zamieszkania,spółdzielcze wł. z KW,,
ID44Vma,1995000.0,192.0,5.0,wtórny,2,,,,,,do zamieszkania,pełna własność,,
ID4d9TB,450000.0,31.0,2.0,wtórny,1,,,10.0,,,do zamieszkania,,,400 zł
